id,name,hierarchy,reuse,interface,dataflow,unit_test,naming,directory,build_independence,model_version,version_independence,release_branches,device_specificity,parameter_management,total,max_score
NEP-01,VcVcuInD,3,1,1,2,1,3,5,2,3,3,8,8,5,45,61
NEP-02,VcVcuOutQM,3,1,1,1,1,3,5,0,3,3,8,8,1,38,61
NEP-03,VcVmcTrq,3,1,1,1,1,3,5,2,3,3,0,10,1,34,61
NEP-04,VcErcRgn,3,1,1,1,1,3,5,0,3,3,0,10,1,32,61
NEP-05,VcDmcDrv,3,1,1,1,0,3,5,0,3,3,0,10,1,31,61
NEP-06,VcWrcWhl,3,1,1,1,1,3,5,2,3,3,0,10,1,34,61
NEP-07,VcDeChg,3,1,1,1,1,3,5,1,3,3,0,10,1,33,61
NEP-08,VcPvcThm,3,1,1,1,1,3,3,0,3,3,0,10,1,30,61
NEP-09,VcSfCPropR,3,1,1,1,1,3,5,0,3,3,8,8,1,38,61
NEP-10,VcSfDPropR,3,1,1,1,0,3,5,0,3,3,8,8,1,37,61
NEP-11,VcScHv,3,1,1,1,0,3,5,2,3,3,0,10,1,33,61
